Date,Vicinity,Area,Region,Confirmed,Percent ,Rate
30-May-20,Ahuntsic Cartierville,Montreal,Quebec,2121,8.70,1579.90
30-May-20,Anjou,Montreal,Quebec,626,2.60,1462.80
30-May-20,Baie D Urfe ,Montreal,Quebec,28,0.10,732.40
30-May-20,Beaconsfield,Montreal,Quebec,57,0.20,295.00
30-May-20,Cote des Neiges Notre Dame de Grace,Montreal,Quebec,2013,8.30,1208.90
30-May-20,Cote Saint Luc,Montreal,Quebec,489,2.00,1507.00
30-May-20,Dollard des Ormeaux,Montreal,Quebec,393,1.60,803.70
30-May-20,Dorval,Montreal,Quebec,174,0.70,916.80
30-May-20,Hampstead,Montreal,Quebec,52,0.20,745.70
30-May-20,Kirkland,Montreal,Quebec,101,0.40,501.20
30-May-20,Lachine,Montreal,Quebec,546,2.20,1227.30
30-May-20,LaSalle,Montreal,Quebec,1083,4.40,1409.20
30-May-20,L'ile Bizard Sainte Genevieve,Montreal,Quebec,185,0.80,1004.70
30-May-20,Mercier Hochelaga Maisonneuve,Montreal,Quebec,2103,8.60,1546.10
30-May-20,Montreal Est,Montreal,Quebec,37,0.20,961.00
30-May-20,Montreal Nord,Montreal,Quebec,2340,9.60,2778.00
30-May-20,Montreal Ouest,Montreal,Quebec,18,0.10,356.40
30-May-20,Mont Royal,Montreal,Quebec,249,1.00,1228.10
30-May-20,Outremont,Montreal,Quebec,248,1.00,1035.30
30-May-20,Pierrefonds Roxboro,Montreal,Quebec,504,2.10,727.30
30-May-20,Plateau Mont Royal,Montreal,Quebec,830,3.40,798.10
30-May-20,Pointe Claire,Montreal,Quebec,208,0.90,662.80
30-May-20,Riviere des Prairies Pointe aux Trembles,Montreal,Quebec,1990,8.20,1864.30
30-May-20,Rosemont La Petite Patrie,Montreal,Quebec,1440,5.90,1031.60
30-May-20,Sainte Anne de Bellevue,Montreal,Quebec,17,0.10,342.90
30-May-20,Saint Laurent,Montreal,Quebec,983,4.00,994.70
30-May-20,Saint Leonard,Montreal,Quebec,1030,4.20,1315.40
30-May-20,Senneville,Montreal,Quebec,5,0.00,
30-May-20,Sud Ouest,Montreal,Quebec,852,3.50,1090.20
30-May-20,Verdun,Montreal,Quebec,890,3.70,1285.60
30-May-20,Ville Marie,Montreal,Quebec,716,2.90,803.00
30-May-20,Villeray Saint Michel Parc Extension,Montreal,Quebec,1882,7.70,1308.30
30-May-20,Westmount,Montreal,Quebec,169,0.70,832.00
